country,region,total_cases,total_cases_per_million,last_week_cases,last_day_cases,total_deaths,total_deaths_per_million,last_week_deaths,last_day_deaths,transmission_class,gdp_2014_billionsusd,code
United States,Americas,26746377,80804.12,816309,91412,459993,1389.7,22029,1449,Community transmission,17420.0,USA
India,South-East Asia,10847304,7860.34,81059,9110,155158,112.43,672,78,Clusters of cases,2048.0,IND
Brazil,Americas,9524640,44809.31,319909,26845,231534,1089.27,7030,522,Community transmission,2244.0,BRA
Russia,Europe,3998216,27397.34,113486,15019,77598,531.73,3440,530,Clusters of cases,2057.0,RUS
United Kingdom,Europe,3959788,58329.96,124001,14104,112798,1661.58,6234,333,Community transmission,2848.0,GBR
France,Europe,3285786,50338.74,136531,3566,79016,1210.54,2902,456,Community transmission,2902.0,FRA
Spain,Europe,2913425,62312.88,53769,0,60802,1300.44,611,0,Community transmission,1400.0,ESP
Italy,Europe,2644707,43741.77,83750,7969,91580,1514.67,2735,307,Clusters of cases,2129.0,ITA
Turkey,Europe,2539559,30111.3,54377,8103,26900,318.95,783,103,Community transmission,813.3,TUR
Germany,Europe,2291924,27355.17,63839,3379,62156,741.86,4175,481,Community transmission,3820.0,DEU
Colombia,Americas,2157216,42395.7,62332,6009,55993,1100.43,2010,300,Community transmission,400.1,COL
Argentina,Americas,1980347,43817.08,53108,3658,49171,1087.96,1197,61,Community transmission,536.2,ARG
Mexico,Americas,1932145,14985.68,67885,6065,166200,1289.04,7664,414,Community transmission,1296.0,MEX
Poland,Europe,1556685,41131.42,36470,3999,39360,1039.99,1884,228,Community transmission,552.2,POL
South Africa,Africa,1477511,24912.22,21202,1376,46473,783.58,2074,183,Community transmission,341.2,ZAF
Iran,Eastern Mediterranean,1473756,17546.19,49160,7321,58536,696.92,498,67,Community transmission,402.7,IRN
Ukraine,Europe,1249646,28573.94,25767,2656,23771,543.54,847,127,Community transmission,134.9,UKR
Peru,Americas,1186698,35991.24,48459,6220,42308,1283.16,1282,187,Community transmission,208.2,PER
Indonesia,South-East Asia,1166079,4263.17,76771,8242,31763,116.13,1486,207,Community transmission,856.1,IDN
Netherlands,Europe,1007981,58826.29,26476,2273,14428,842.03,406,25,Community transmission,880.4,NLD
Canada,Americas,804260,21309.33,25288,3203,20767,550.23,735,65,Community transmission,1794.0,CAN
Portugal,Europe,767919,75310.48,41598,2505,14354,1407.71,1597,196,Clusters of cases,228.2,PRT
Chile,Americas,755350,39513.6,24462,3464,19056,996.85,519,82,Community transmission,264.1,CHL
Romania,Europe,746637,38811.15,16581,1319,18961,985.62,559,80,Community transmission,199.0,ROU
Belgium,Europe,726483,62683.92,11019,0,21423,1848.46,240,0,Community transmission,527.8,BEL
Israel,Europe,691111,79846.13,45366,4573,5163,596.5,345,43,Community transmission,305.0,ISR
Iraq,Eastern Mediterranean,630263,15669.42,9643,1713,13126,326.33,69,6,Community transmission,232.2,IRQ
Sweden,Europe,588062,58228.2,13032,0,12115,1199.59,34,0,Community transmission,559.1,SWE
Pakistan,Eastern Mediterranean,555511,2514.85,9083,1037,12026,54.44,343,59,Community transmission,237.5,PAK
Philippines,Western Pacific,538995,4918.69,11723,1685,11231,102.49,424,52,Community transmission,284.6,PHL
Bangladesh,South-East Asia,538378,3269.05,2796,316,8221,49.92,84,16,Community transmission,186.6,BGD
Switzerland,Europe,532555,61534.17,7541,1,8872,1025.12,81,0,Community transmission,679.0,CHE
Morocco,Eastern Mediterranean,475589,12884.9,4151,234,8408,227.79,121,14,Clusters of cases,112.6,MAR
Austria,Europe,421452,46794.73,9531,808,7940,881.6,230,34,Community transmission,436.1,AUT
Serbia,Europe,409841,58853.37,12839,1960,4139,594.36,101,13,Community transmission,42.65,SRB
Japan,Western Pacific,406766,3216.14,15140,1776,6476,51.2,682,81,Clusters of cases,4770.0,JPN
Hungary,Europe,378734,39204.99,9446,1079,13249,1371.48,593,94,Community transmission,129.7,HUN
Saudi Arabia,Eastern Mediterranean,370634,10646.16,2305,356,6406,184.01,27,4,Sporadic cases,777.9,SAU
Jordan,Eastern Mediterranean,336839,33013.29,8777,1685,4385,429.77,59,6,Community transmission,36.55,JOR
United Arab Emirates,Eastern Mediterranean,329293,33294.2,22954,2798,930,94.03,71,9,Community transmission,416.4,ARE
Panama,Americas,327091,75807.34,6712,627,5480,1270.06,210,25,Community transmission,44.69,PAN
Lebanon,Eastern Mediterranean,321980,47173.48,18908,2063,3677,538.72,532,61,Community transmission,47.5,LBN
